iter	Poisson
0	0.3423682477
1	-0.2737101261
2	-0.8319191342
3	-1.317190019
4	-1.793231351
5	-2.19154919
6	-2.594529153
7	-2.927492568
8	-3.264188596
9	-3.593720618
10	-3.903074052
11	-4.173266634
12	-4.430932847
13	-4.66692933
14	-4.894880594
15	-5.099948008
16	-5.287997749
17	-5.479352937
18	-5.646347878
19	-5.797292631
20	-5.960847109
21	-6.09620014
22	-6.228784859
23	-6.344359969
24	-6.447062269
25	-6.543159023
26	-6.632018804
27	-6.71447891
28	-6.787899031
29	-6.860699188
30	-6.927074696
31	-6.988149654
32	-7.047856445
33	-7.106765647
34	-7.153706576
35	-7.193730355
36	-7.231134941
37	-7.269977312
38	-7.301887957
39	-7.333272206
40	-7.360070377
41	-7.38374151
42	-7.405578441
43	-7.427713153
44	-7.450160068
45	-7.466532254
46	-7.481782988
47	-7.497070105
48	-7.510178897
49	-7.524505987
50	-7.536738636
51	-7.548026144
52	-7.55757029
53	-7.569019165
54	-7.576527905
55	-7.583772467
56	-7.592575189
57	-7.600320641
58	-7.605918533
59	-7.611052965
60	-7.615375423
61	-7.62013615
62	-7.62440481
63	-7.629521116
64	-7.633057432
65	-7.636157073
66	-7.639028725
67	-7.64157966
68	-7.644700275
69	-7.646854615
70	-7.649157536
71	-7.651015394
72	-7.652786542
73	-7.654644488
74	-7.656498836
75	-7.658142595
76	-7.660698388
77	-7.66216798
78	-7.663250195
79	-7.664334034
80	-7.665265663
81	-7.666171169
82	-7.6674732
83	-7.668255541
84	-7.669501305
85	-7.67136938
86	-7.672227373
87	-7.673034954
88	-7.673528339
89	-7.675203119
90	-7.675905717
91	-7.676683453
92	-7.677235498
93	-7.677831043
94	-7.678863078
95	-7.679623534
96	-7.68016036
97	-7.680707323
98	-7.681094617
99	-7.681607766
100	-7.682257124
101	-7.682831457
102	-7.683545664
103	-7.684476585
104	-7.685284262
105	-7.685886217
106	-7.686449009
107	-7.687004076
108	-7.687324591
109	-7.687756455
110	-7.688294341
111	-7.688891889
112	-7.689182913
113	-7.689465803
114	-7.689699687
115	-7.689970353
116	-7.691107183
117	-7.69148993
118	-7.692017752
119	-7.692135839
120	-7.692365194
121	-7.692794016
122	-7.69321036
123	-7.693361668
124	-7.693427345
125	-7.693604845
126	-7.693766917
127	-7.694056511
128	-7.694208402
129	-7.694335
130	-7.695227998
131	-7.695393798
132	-7.695477382
133	-7.695529639
134	-7.696179383
135	-7.696317698
136	-7.696399237
137	-7.697089205
138	-7.697242067
139	-7.697610366
