iter	Passed	Remaining
0	57	62987
1	58	31914
2	58	21565
3	60	16570
4	61	13412
5	62	11321
6	62	9824
7	63	8684
8	64	7812
9	65	7113
10	66	6567
11	67	6091
12	67	5682
13	68	5331
14	69	5017
15	70	4751
16	70	4510
17	71	4301
18	72	4113
19	73	3948
20	73	3799
21	74	3660
22	75	3534
23	76	3421
24	77	3312
25	77	3216
26	78	3123
27	80	3069
28	80	2985
29	81	2912
30	82	2840
31	83	2774
32	83	2712
33	84	2654
34	85	2599
35	86	2545
36	86	2493
37	87	2447
38	88	2401
39	89	2360
40	90	2325
41	90	2284
42	91	2248
43	92	2213
44	93	2182
45	93	2149
46	94	2116
47	95	2088
48	96	2059
49	96	2035
50	98	2015
51	99	1996
52	100	1976
53	100	1955
54	101	1934
55	102	1914
56	103	1896
57	104	1877
58	105	1866
59	106	1851
60	107	1836
61	108	1821
62	109	1807
63	110	1792
64	111	1776
65	112	1758
66	112	1740
67	113	1725
68	114	1712
69	115	1697
70	116	1682
71	116	1667
72	117	1654
73	118	1641
74	119	1629
75	119	1615
76	120	1603
77	121	1590
78	122	1578
79	122	1565
80	123	1553
81	124	1542
82	125	1531
83	125	1521
84	126	1511
85	127	1501
86	128	1491
87	128	1480
88	129	1470
89	130	1461
90	130	1450
91	131	1441
92	132	1433
93	133	1424
94	133	1416
95	134	1407
96	135	1399
97	136	1390
98	136	1381
99	137	1373
100	138	1366
101	138	1358
102	139	1351
103	140	1343
104	141	1337
105	141	1330
106	142	1322
107	143	1315
108	143	1309
109	144	1302
110	145	1295
111	146	1289
112	146	1283
113	147	1278
114	148	1271
115	149	1265
116	150	1260
117	150	1254
118	151	1248
119	152	1242
120	152	1236
121	153	1231
122	154	1226
123	155	1226
124	156	1221
125	157	1215
126	157	1210
127	158	1205
128	159	1200
129	160	1195
130	161	1191
131	161	1186
132	163	1185
133	163	1180
134	164	1176
135	165	1171
136	165	1166
137	166	1162
138	167	1157
139	168	1153
140	168	1148
141	169	1143
142	170	1139
143	170	1134
144	171	1129
145	172	1125
146	172	1121
147	173	1117
148	174	1113
149	175	1109
150	175	1105
151	176	1100
152	177	1097
153	177	1093
154	178	1089
155	179	1085
156	180	1081
157	180	1077
158	181	1073
159	182	1070
160	182	1066
161	183	1063
162	184	1059
163	185	1056
164	185	1052
165	186	1048
166	187	1045
167	187	1041
168	188	1038
169	189	1034
170	189	1031
171	190	1028
172	191	1025
173	192	1021
174	193	1022
175	194	1019
176	194	1016
177	195	1013
178	196	1010
179	197	1007
180	197	1004
181	198	1000
182	199	998
183	200	996
184	200	993
185	201	990
186	202	987
187	202	984
188	203	981
189	204	978
190	204	975
191	205	972
192	206	969
193	207	967
194	207	964
195	208	962
196	209	959
197	210	956
198	211	957
199	212	954
200	213	952
201	213	950
202	214	948
203	215	945
204	216	943
205	216	940
206	217	937
207	218	935
208	218	933
209	219	930
210	220	928
211	221	926
212	222	925
213	222	923
214	223	920
215	224	918
216	225	916
217	226	914
218	226	911
219	227	909
220	228	907
221	228	905
222	229	902
223	230	900
224	230	898
225	231	895
